10000 20
WS841HR 16:56:54 in
HB019VT 17:27:46 in
MF961QY 11:30:14 in
WS841HR 06:27:27 out
HB019VT 18:39:37 out
MF961QY 14:54:53 out
RF598DY 14:26:29 in
RF598DY 12:32:36 out
GN741GO 03:31:23 in
GN741GO 17:40:40 out
IQ771ZF 21:41:01 in
WL204QB 17:26:23 in
GV109YO 07:36:09 in
YZ545HP 08:19:01 in
IQ771ZF 13:21:23 out
WL204QB 02:20:26 out
GV109YO 18:16:51 out
YZ545HP 19:41:27 out
PX887CB 03:14:11 in
PX887CB 03:22:53 out
WG876CI 07:06:49 in
WG876CI 05:24:47 out
WE524GC 13:25:47 in
TM320DE 20:39:30 in
WE524GC 10:56:24 out
TM320DE 18:15:11 out
FJ350PY 08:26:53 in
FJ350PY 18:00:30 out
MW498BX 07:21:23 in
MW498BX 05:19:50 out
PB169DK 12:20:21 in
PB169DK 09:38:26 out
UG426RR 13:31:38 in
UG426RR 10:03:25 out
GZ674QW 10:34:09 in
GZ674QW 09:42:54 out
YL564SL 22:53:08 in
YL564SL 16:59:18 out
OC206FU 00:45:00 in
OC206FU 17:20:33 out
UG587GO 10:44:50 in
UG587GO 17:30:20 out
OH353AJ 12:11:24 in
OH353AJ 13:05:23 out
GP029FO 19:01:32 in
GP029FO 10:39:59 out
KJ797YL 10:56:23 in
KJ797YL 00:22:16 out
NJ414IG 18:14:57 in
NJ414IG 03:21:55 out
DC083IH 11:18:18 in
DC083IH 09:55:30 out
LJ956KX 11:20:39 in
LJ956KX 13:43:40 out
MP290GG 10:39:30 in
MP290GG 05:10:09 out
KN735LZ 17:20:11 in
KN735LZ 17:34:09 out
ZE917NV 07:53:08 in
ZE917NV 04:11:16 out
CM291TJ 11:44:30 in
CM291TJ 09:47:52 out
GT847EF 22:20:25 in
GT847EF 00:45:00 out
GT405JV 15:09:40 in
HI443ZS 03:26:47 in
UP764PS 21:59:50 in
GT405JV 04:52:09 out
HI443ZS 06:27:54 out
UP764PS 20:57:33 out
QK572WF 19:35:58 in
